id,industry,is_local,visibility_score,visibility_tier,model_count,chatgpt_mentioned,perplexity_mentioned,gemini_mentioned,claude_mentioned,google_aio_mentioned,recommendation_count,blocks_ai_crawlers,robots_score,has_schema_markup,schema_is_ssr,schema_score,citability_score,has_faq_content,has_comparison_content,sitemap_exists,total_indexed_pages,blog_post_count,google_review_count,google_review_rating,has_llms_txt,has_llms_full_txt
BIZ_0071,accounting,true,39,moderate,1,false,true,false,false,false,1,false,100,true,true,100,54,false,false,true,582,456,10,4.9,,
BIZ_0072,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,53,false,false,true,1065,4,33,4.5,,
BIZ_0073,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,true,true,100,59,false,false,true,82,0,37,4.7,,
BIZ_0074,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,51,false,false,false,0,0,140,4.5,,
BIZ_0075,accounting,true,0,invisible,0,false,false,false,false,false,0,true,45,false,false,0,49,false,false,true,25,0,16,4.8,,
BIZ_0076,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,49,false,false,true,79,0,14,4.9,,
BIZ_0077,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,64,false,false,true,2008,1,100,4.6,,
BIZ_0078,accounting,true,59,high,5,true,true,true,true,true,29,false,100,true,true,100,,,,false,0,0,1200,4.3,,
BIZ_0079,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,false,true,273,1,25,4.9,,
BIZ_0080,accounting,true,29,moderate,1,false,true,false,false,false,3,false,100,true,true,100,52,false,false,true,25,0,12,4.6,,
BIZ_0081,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,56,false,false,true,2013,1036,28,4.7,,
BIZ_0082,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,62,false,true,true,6383,1,20,4.8,,
BIZ_0083,accounting,true,40,moderate,2,true,false,true,false,false,5,false,100,true,true,100,42,false,false,true,8058,5894,200,4.5,,
BIZ_0084,accounting,true,3,low,1,false,false,true,false,false,0,true,35,false,false,0,56,false,true,true,60,0,41,4.5,,
BIZ_0085,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,54,false,false,true,149,0,28,4.7,,
BIZ_0086,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,true,false,0,0,15,4.8,,
BIZ_0087,accounting,true,48,moderate,4,true,true,true,false,true,16,false,100,true,true,100,52,false,false,true,149,1,32,4.6,,
BIZ_0088,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,56,false,false,true,6,0,34,4.8,,
BIZ_0089,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,63,true,true,false,0,0,28,4.6,,
BIZ_0090,accounting,true,0,invisible,0,false,false,false,false,false,0,true,80,false,false,0,40,false,false,true,25,12,17,4.8,,
BIZ_0091,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,20,false,false,true,76,43,20,4.9,,
BIZ_0092,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,116,2,25,4.7,,
BIZ_0093,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,56,false,false,false,0,0,30,4.8,,
BIZ_0094,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,false,0,0,15,4.9,,
BIZ_0095,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,34,false,false,false,0,0,20,4.7,,
BIZ_0096,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,false,0,0,35,4.5,,
BIZ_0097,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,55,false,false,false,0,0,40,4.8,,
BIZ_0098,accounting,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,24,false,false,true,1,0,23,4.9,,
BIZ_0099,accounting,true,46,moderate,3,true,true,false,true,false,14,false,100,true,true,100,58,false,false,false,0,0,45,4.7,,
BIZ_0100,accounting,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,48,false,false,true,34,0,48,4.5,,
BIZ_0101,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,true,true,479,0,180,4.9,,
BIZ_0102,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,3,false,false,false,0,0,100,4.7,false,false
BIZ_0103,dental,true,10,low,1,false,true,false,false,false,0,false,100,true,true,100,52,false,true,true,9,0,100,4.7,true,false
BIZ_0104,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,false,true,73,0,310,4.8,,
BIZ_0105,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,51,false,false,true,20,1,105,4.8,false,false
BIZ_0106,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,false,true,370,90,130,4.5,false,false
BIZ_0107,dental,true,6,low,1,false,false,true,false,false,0,false,100,false,false,0,52,false,false,false,0,0,350,4.7,false,false
BIZ_0108,dental,true,49,moderate,2,false,true,false,false,true,31,true,45,true,true,100,59,false,true,true,285,0,200,5,,
BIZ_0109,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,true,false,false,0,0,260,4.5,,
BIZ_0110,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,133,1,230,4.7,false,false
BIZ_0111,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,false,10,56,false,false,true,758,513,270,4.9,,
BIZ_0112,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,62,false,false,true,120,68,240,4.6,,
BIZ_0113,dental,true,52,high,2,true,false,false,true,false,80,false,100,true,true,100,56,false,false,true,30,1,290,4.8,,
BIZ_0114,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,54,false,false,true,105,1,160,4.6,,
BIZ_0115,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,62,false,false,true,6,0,100,4.7,,
BIZ_0116,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,46,false,false,false,0,0,100,4.6,false,false
BIZ_0117,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,true,false,0,0,90,4.6,true,true
BIZ_0118,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,false,true,41,0,200,4.6,false,false
BIZ_0119,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,60,true,false,true,41,1,160,4.9,false,false
BIZ_0120,dental,true,10,low,2,false,false,true,true,false,0,false,100,true,true,100,55,true,false,true,397,28,180,4.5,true,false
BIZ_0121,dental,true,43,moderate,1,false,true,false,false,false,29,true,45,true,true,100,59,false,true,true,285,0,200,5,false,false
BIZ_0122,dental,true,36,moderate,1,false,true,false,false,false,7,false,100,false,false,0,50,false,false,false,0,0,250,4.9,false,false
BIZ_0123,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,48,false,false,false,0,0,110,4.9,false,false
BIZ_0124,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,48,false,false,true,15,0,280,4.8,true,true
BIZ_0125,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,16,false,false,true,0,0,150,4.8,,
BIZ_0126,dental,true,44,moderate,1,false,true,false,false,false,37,true,45,true,true,100,59,false,true,true,285,0,200,5,false,false
BIZ_0127,dental,true,48,moderate,2,true,true,false,false,false,74,false,100,true,true,100,50,false,false,true,49,0,210,4.6,true,false
BIZ_0128,dental,true,21,moderate,1,false,true,false,false,false,4,false,100,true,true,100,38,true,false,true,6,0,130,4.7,false,false
BIZ_0129,dental,true,21,moderate,1,false,true,false,false,false,4,false,100,false,false,0,,,,false,0,0,220,4.5,false,false
BIZ_0130,dental,true,35,moderate,1,false,true,false,false,false,23,false,100,true,true,100,44,false,false,true,132,1,300,4.9,true,true
BIZ_0131,dental,true,40,moderate,1,false,true,false,false,false,34,false,100,true,true,100,60,true,false,true,41,1,160,4.9,false,false
BIZ_0132,dental,true,41,moderate,2,false,true,false,false,true,27,true,45,true,true,100,59,false,true,true,285,0,200,5,,
BIZ_0133,dental,true,35,moderate,2,false,true,false,false,true,12,false,100,true,true,100,62,false,false,false,0,0,120,4.6,false,false
BIZ_0134,dental,true,42,moderate,2,false,true,false,false,true,36,false,100,true,true,100,39,false,false,false,0,0,300,4.9,,
BIZ_0135,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,true,false,0,0,170,4.8,false,false
BIZ_0136,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,61,true,false,false,0,0,190,4.7,,
BIZ_0137,dental,true,35,moderate,1,false,true,false,false,false,4,false,100,false,false,0,50,false,false,false,0,0,250,4.9,false,false
BIZ_0138,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,true,true,57,1,140,4.5,false,false
BIZ_0139,dental,true,0,invisible,0,false,false,false,false,false,0,true,35,false,false,0,55,false,false,true,60,0,150,4.7,false,false
BIZ_0140,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,false,true,54,1,320,4.9,,
BIZ_0141,dental,true,35,moderate,2,false,true,false,false,true,11,false,100,true,true,100,61,false,false,true,26,0,120,4.6,false,false
BIZ_0142,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,true,true,57,1,150,4.9,,
BIZ_0143,dental,true,37,moderate,1,false,true,false,false,false,30,false,100,true,true,100,62,false,true,true,1,0,140,4.8,false,false
BIZ_0144,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,60,false,false,false,0,0,280,4.9,,
BIZ_0145,dental,true,0,invisible,0,false,false,false,false,false,0,true,45,true,true,100,59,false,false,true,210,162,230,4.6,,
BIZ_0146,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,51,false,false,true,114,0,230,4.9,,
BIZ_0147,dental,true,38,moderate,1,false,true,false,false,false,16,false,100,true,true,100,59,true,false,true,10,0,250,4.9,false,false
BIZ_0148,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,18,false,false,false,0,0,170,4.5,,
BIZ_0149,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,40,false,false,false,0,0,130,4.6,false,false
BIZ_0150,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,56,true,false,true,15,0,150,4.8,false,false
BIZ_0151,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,56,false,false,true,61,0,190,4.6,false,false
BIZ_0152,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,false,true,0,0,240,4.9,false,false
BIZ_0153,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,68,true,true,true,41,1,160,4.9,false,false
BIZ_0154,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,false,true,9,0,160,4.5,false,false
BIZ_0155,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,true,true,21,0,190,4.6,false,false
BIZ_0156,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,59,false,false,true,65,0,220,4.7,,
BIZ_0157,dental,true,46,moderate,2,false,true,false,false,true,60,false,100,true,true,100,44,false,false,true,132,1,300,4.9,true,true
BIZ_0158,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,63,24,110,4.8,,
BIZ_0159,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,65,true,false,false,0,0,120,4.8,false,false
BIZ_0160,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,61,false,false,true,280,20,310,4.9,,
BIZ_0161,dental,true,6,low,1,false,false,false,true,false,0,false,100,true,true,100,63,false,false,true,216,26,300,4.8,false,false
BIZ_0162,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,48,false,false,true,130,0,140,4.7,false,false
BIZ_0163,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,34,false,true,false,0,0,110,4.8,false,false
BIZ_0164,dental,true,39,moderate,1,false,false,true,false,false,3,false,100,true,true,100,55,false,false,true,75,17,170,4.7,true,true
BIZ_0165,dental,true,39,moderate,1,false,false,false,false,true,2,false,100,true,true,100,60,false,false,true,31,1,210,4.5,false,false
BIZ_0166,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,66,false,true,true,29,0,180,4.9,,
BIZ_0167,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,54,false,false,true,37,0,220,4.8,,
BIZ_0168,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,51,false,false,true,162,0,210,4.8,,
BIZ_0169,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,61,0,270,4.7,,
BIZ_0170,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,50,false,false,false,0,0,190,4.7,,
BIZ_0171,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,false,true,112,1,180,4.6,,
BIZ_0172,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,56,false,false,true,37,0,110,4.5,,
BIZ_0173,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,25,false,false,true,88,0,260,4.8,false,false
BIZ_0174,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,50,false,true,true,6,0,200,4.6,,
BIZ_0175,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,false,10,55,false,false,true,454,229,120,4.8,false,false
BIZ_0176,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,44,false,false,true,26,0,200,4.8,,
BIZ_0177,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,58,false,true,true,0,0,270,4.9,true,false
BIZ_0178,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,32,false,false,true,13,0,150,4.8,,
BIZ_0179,dental,true,9,low,2,false,false,true,true,false,0,false,100,true,true,100,59,false,true,true,277,198,150,4.9,,
BIZ_0180,dental,true,6,low,1,false,false,false,true,false,0,false,100,true,true,100,55,false,false,false,0,0,210,4.6,,
BIZ_0181,dental,true,10,low,2,false,false,true,true,false,0,true,35,false,false,0,55,false,true,true,156,12,320,4.7,,
BIZ_0182,dental,true,6,low,1,false,false,true,false,false,0,false,100,false,false,0,51,true,false,true,4,0,290,4.5,,
BIZ_0183,dental,true,2,low,1,false,false,true,false,false,0,false,100,true,true,100,54,false,false,true,544,1,160,4.8,false,false
BIZ_0184,dental,true,48,moderate,2,false,true,false,false,true,62,false,100,true,true,100,51,false,false,true,34,0,180,4.7,false,false
BIZ_0185,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,49,false,false,true,0,0,140,4.7,,
BIZ_0186,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,29,0,250,4.7,,
BIZ_0187,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,55,false,false,false,0,0,140,4.8,,
BIZ_0188,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,false,10,56,false,false,true,319,198,130,4.7,,
BIZ_0189,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,47,false,false,false,0,0,200,4.7,,
BIZ_0190,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,57,false,false,true,60,0,260,4.7,,
BIZ_0191,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,false,true,49,23,120,4.7,,
BIZ_0192,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,43,false,false,true,52,2,250,4.7,false,false
BIZ_0193,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,41,false,false,true,112,1,170,4.6,,
BIZ_0194,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,true,true,6,0,200,4.9,true,false
BIZ_0195,dental,true,7,low,1,false,true,false,false,false,0,false,100,true,true,100,63,false,true,false,0,0,220,4.5,,
BIZ_0196,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,64,false,true,true,42,0,190,4.5,,
BIZ_0197,dental,true,31,moderate,1,false,true,false,false,false,4,false,100,false,false,0,42,false,true,true,60,0,220,4.9,false,false
BIZ_0198,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,true,true,84,1,240,4.8,,
BIZ_0199,dental,true,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,31,false,false,false,0,0,280,4.8,,
BIZ_0200,dental,true,6,low,1,false,true,false,false,false,0,false,100,false,false,0,,,,false,0,0,95,4.6,,
BIZ_0201,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,53,false,false,true,103,29,,,,
BIZ_0202,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,66,false,true,true,452,1,,,,
BIZ_0203,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,44,false,false,false,0,0,,,,
BIZ_0204,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,false,false,0,41,false,false,false,0,0,,,,
BIZ_0205,digital_marketing,false,39,moderate,1,false,false,false,false,true,1,false,100,true,true,100,59,false,false,true,169,82,,,,
BIZ_0206,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,64,true,false,true,270,1,,,,
BIZ_0207,digital_marketing,false,24,moderate,3,false,true,true,true,false,2,false,100,false,false,0,52,false,false,true,98,60,,,,
BIZ_0208,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,55,false,false,true,1032,2,,,,
BIZ_0209,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,62,false,true,true,601,349,,,,
BIZ_0210,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,60,false,false,true,70,22,,,,
BIZ_0211,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,47,false,false,true,146,1,,,,
BIZ_0212,digital_marketing,false,0,invisible,0,false,false,false,false,false,0,false,100,true,true,100,68,true,false,true,3549,0,,,,
BIZ_0213,digital_marketing,false,6,low,1,false,true,false,false,false,0,false,100,true,true,100,56,false,false,true,1746,1589,,,,
